text,diggCount,uniqueId,createTimeISO,videoWebUrl,language,sentiment,category,reaction_target,translation_ko
これ今度買ってみようかな！,1,asuka_0422_,2026-06-04 12:29:26+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,기타,이거 다음에 한번 사볼까!
かわいいのよおん💗,0,ai_ai_0214,2026-06-05 03:19:51+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,예쁘다니까요💗
肌ふわふわ☁️,1,nicogram_arv,2026-06-04 12:14:14+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,피부 표현·메이크업,피부 폭신폭신☁️
これ使ったらゆるめちゃんになれる？🍓💕,1,kitty_futa,2026-06-04 12:30:23+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,이거 쓰면 유루메짱처럼 될 수 있어요?🍓💕
可愛すぎてこの顔なりたい🥹,0,user1015981073426,2026-06-05 02:22:28+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,너무 예뻐서 이 얼굴 갖고 싶어요🥹
ゆるめちゃん,0,aoi_0731,2026-06-05 03:19:19+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Neutral,모델·출연자 반응,모델·출연자 반응,유루메짱
かわいすぎる！,0,samugyopusaru_tabetai,2026-06-05 01:50:35+00:00,https://www.tiktok.com/@1004yrm_/video/7647508523282173205,Japanese,Positive,기타,기타,너무 예뻐요!
カラーは何色使ってますか！,1,idolnori.05,2026-02-25 22:38:47+00:00,https://www.tiktok.com/@doublesoup_jp/video/7578049697219185938,Japanese,Neutral,패키지·디자인,구매·문의,컬러는 몇 호 쓰세요!
主さん何肌ですか？？,0,happy____89,2026-02-23 15:58:04+00:00,https://www.tiktok.com/@doublesoup_jp/video/7578049697219185938,Japanese,Neutral,기타,피부 표현·메이크업,본인 피부 타입이 뭐예요??
かわいすぎて商品どころじゃない😂💕,5,issaeclat,2026-06-04 12:23:29+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,사용 방법·문의,기타,너무 예뻐서 제품 볼 정신이 없어요😂💕
韓国の友達からおすすめされたけどマジでこれいい。,1,aya_0907_,2026-06-04 12:28:06+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,구매·문의,한국 친구가 추천해줬는데 진짜 이거 좋아요.
じゅりちゃんんんん,2,ai_10214,2026-06-04 12:28:50+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Neutral,모델·출연자 반응,모델·출연자 반응,쥬리짱ㅡㅡㅡㅡ
顔面国宝すぎるて。,5,juri._.only,2026-06-04 12:55:00+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,얼굴이 국보급이야.
え、これ買おうかな！！,0,kiri00613r9,2026-06-04 12:17:45+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,기타,"어, 이거 살까!!"
じゅりちゃんが紹介したら買うしかないじゃんんん💘💘,0,mashi0802,2026-06-04 13:09:20+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,구매 의도,구매·문의,쥬리짱이 소개하면 살 수밖에 없잖아요💘💘
じゅりちゃんの肌になりたい😭,0,akari_1103_,2026-06-04 12:25:10+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Neutral,기타,피부 표현·메이크업,쥬리짱 피부 갖고 싶어요😭
これでじゅりちゃん肌目指す💗,0,yuna__2190,2026-06-04 12:18:57+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,피부 표현·메이크업,이걸로 쥬리짱 피부 목표로 할래요💗
え、ビジュ強すぎない？🖤✨,0,risa._.912,2026-06-04 12:11:48+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,"어, 비주얼 너무 쎈 거 아니에요?🖤✨"
これ今おなじの買う,0,megumegumeme,2026-06-04 12:24:59+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Neutral,구매 의도,구매·문의,이거 지금 같은 거 살래요
ビジュが良すぎる、全てが最高‼️,0,user2553110087796,2026-06-04 12:20:03+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,"비주얼이 너무 좋아, 전부 최고‼️"
じゅりちゃん全部似合うのずるい🥺🩵,0,ai_ai_0214,2026-06-04 12:27:21+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Negative,모델·출연자 반응,모델·출연자 반응,쥬리짱 다 잘 어울리는 거 반칙이에요🥺🩵
じゅりちゃんが紹介すると全部欲しくなる😭💖,0,user1015981073426,2026-06-04 12:18:57+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,쥬리짱이 소개하면 다 갖고 싶어져요😭💖
じゅりちゃんのベースメイクまじ参考になる💄,0,itsucnuhlwt,2026-06-04 12:22:28+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,피부 표현·메이크업,쥬리짱 베이스 메이크업 진짜 참고돼요💄
だいぶすきビジュ꒰ᐢɞ̴̶̷ ·̫ ɞ̴̶̷ᐢ꒱💘✨️,0,juri_._tan,2026-06-04 12:11:21+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,완전 제 취향 비주얼이에요💘✨️
じゅりさん可愛すぎませんか？🎀,0,kantavazl8b,2026-06-04 12:16:14+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,쥬리 님 너무 예쁘지 않아요?🎀
仕上がりめっちゃ綺麗じゃない？！,0,user1396712402977,2026-06-04 12:25:35+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,피부 표현·광채,피부 표현·메이크업,발림 완전 예쁘지 않아요?!
そのクッション気になってた！！,0,user3175493090830,2026-06-04 12:24:14+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,제품 반응,그 쿠션 궁금했어요!!
デコじゅり可愛い🫵🏻,1,kj.1.26,2026-06-04 12:08:05+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,데코쥬리 예뻐요🫵🏻
メイクかわいすぎて保存した💘,2,aoi_0731,2026-06-04 12:26:16+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,피부 표현·메이크업,메이크업 너무 예뻐서 저장했어요💘
トーンアップすごくない！？,0,emi255409,2026-06-06 07:04:07+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Negative,피부 표현·광채,피부 표현·메이크업,톤업 대단하지 않아요!?
毛穴カバーできるの神すぎる😭,0,shugoi_kun,2026-06-04 12:15:57+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,제품력·효과,제품 반응,모공 커버되는 거 진짜 신급이에요😭
じゅりたん呼び可能🥹？？,0,8.mrri6,2026-06-04 12:10:19+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Neutral,기타,기타,쥬리땅이라고 불러도 돼요🥹??
ライブ可愛かった！ｼｱﾜｾﾓﾉﾃﾞｽ,0,useriztyq07f04,2026-06-04 13:50:49+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,기타,라이브 예뻤어요! 행복했어요
今日のメイクどタイプすぎる💗🦋,0,hinaptti55,2026-06-04 12:17:00+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,피부 표현·메이크업,오늘 메이크업 완전 제 스타일이에요💗🦋
これ毛穴消える系？気になる！,0,kitty_futa,2026-06-04 12:25:47+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Neutral,제품력·효과,제품 반응,이거 모공 없어지는 타입이에요? 궁금해요!
メイク似合いすぎてる🎀,0,s_hiyori1221,2026-06-04 12:11:04+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,피부 표현·메이크업,메이크업 너무 잘 어울려요🎀
顔も声もかわいいって最強だね😻💕,0,mashi0802,2026-06-04 13:10:03+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,얼굴도 목소리도 예쁜 게 최강이네요😻💕
ストライクー,0,user3061107214379,2026-06-04 12:13:15+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Negative,기타,기타,완전 제 스타일이야
肌きれいすぎて見入った👀✨,0,ebichan128,2026-06-04 12:18:16+00:00,https://www.tiktok.com/@juri_._0212/video/7647509820865531157,Japanese,Positive,기타,피부 표현·메이크업,피부가 너무 예뻐서 홀렸어요👀✨
下地とファンデはやっぱり同じブランドのを組み合わせるのが結局1番良いんよね😘,0,cho.it_official,2026-05-20 14:46:09+00:00,https://www.tiktok.com/@cho.it_official/video/7641527759608597767,Japanese,Positive,기타,제품 반응,베이스랑 파운데이션은 역시 같은 브랜드로 맞추는 게 제일 좋더라고요😘
崩れやすさはどうですか！？,0,vskegcshav,2026-04-04 22:35:35+00:00,https://www.tiktok.com/@moelogchan/video/7624723462409522453,Japanese,Neutral,기타,제품 반응,무너짐 정도는 어때요!?
🥺🥺🥺,0,moelogchan,2026-04-04 13:05:39+00:00,https://www.tiktok.com/@moelogchan/video/7624723462409522453,Other,Neutral,기타,기타,
綺麗だね🥰🥰🥰♥️♥️♥️,1,syoruu,2026-02-27 13:11:30+00:00,https://www.tiktok.com/@milktea37_37/video/7611481952662605077,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,예쁘다🥰🥰🥰♥️♥️♥️
みるくちゃん〜💕,1,junda0909,2026-02-27 15:50:44+00:00,https://www.tiktok.com/@milktea37_37/video/7611481952662605077,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,미루쿠짱~💕
可愛い,0,kerorosan1,2026-02-27 14:00:09+00:00,https://www.tiktok.com/@milktea37_37/video/7611481952662605077,Korean,Positive,모델·출연자 반응,모델·출연자 반응,
"綺麗ですね
気になります🥰",4,bibillko3140,2025-12-16 08:11:35+00:00,https://www.tiktok.com/@shining.child03/video/7584042952230751508,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,"예쁘네요
궁금해요🥰"
今日までで1番ハイカバーだなと思うファンデはなんでしたか？,1,kakerui0508,2025-12-15 22:29:12+00:00,https://www.tiktok.com/@shining.child03/video/7584042952230751508,Japanese,Positive,기타,제품 반응,지금까지 중에 가장 커버력 좋았던 파운데이션이 뭐였어요?
全色パール入りですか…？,0,user5870423719900,2026-05-05 07:14:50+00:00,https://www.tiktok.com/@nekon_ototo/video/7610711180012784903,Japanese,Neutral,패키지·디자인,기타,전 색상 다 펄 들어있나요…?
パウダーファンデバージョンもやって欲しいです！,5,user9428486800299,2026-07-27 09:05:48+00:00,https://www.tiktok.com/@cosme_ba/video/7666990545289399572,Japanese,Neutral,구매 의도,제품 반응,파우더 파운데이션 버전도 나왔으면 좋겠어요!
みんなの崩れにくいファンでも教えて〜😳,2,cosme_ba,2026-07-27 10:21:18+00:00,https://www.tiktok.com/@cosme_ba/video/7666990545289399572,Japanese,Neutral,제품력·효과,제품 반응,다들 잘 안 무너지는 파운데이션도 알려줘요~😳
ビディビーチまだ使ったことないから気になるる♡,2,chiru_xoxos2,2026-07-31 05:53:03+00:00,https://www.tiktok.com/@atarichan33/video/7668454056699940116,Japanese,Positive,구매 의도,구매·문의,비디비치 아직 안 써봐서 궁금해요♡
🥰🥰🥰,2,user38484635310075,2026-07-31 00:05:06+00:00,https://www.tiktok.com/@atarichan33/video/7668454056699940116,Other,Positive,기타,기타,
美人すぎるんだよね。可愛いんだけど、美しいの方が似合う,7,.qx_m5_,2026-04-06 23:44:10+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,"너무 미인이에요. 귀엽기도 한데, 아름답다는 표현이 더 어울려요"
ズハは説得力ありすぎます🥰,0,user70133638069213,2026-05-10 13:04:35+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Japanese,Positive,기타,기타,즈하는 설득력이 너무 있어요🥰
맑고 깨끗하고 청순하다 카즈하🥰🥰🥰🥰🥰,0,one.light83,2026-04-18 01:15:13+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Korean,Positive,기타,기타,
겁나 이쁘다~^^,1,user_728810,2026-04-07 03:33:49+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Korean,Positive,기타,기타,
ﾜｰｲ\(* ॑꒳ ॑* \三/ * ॑꒳ ॑*)/ﾜｰｲ,1,keichos10.16,2026-04-06 15:43:39+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Korean,Positive,기타,기타,
可愛い😍,3,aoi6132,2026-04-05 07:30:15+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Korean,Positive,모델·출연자 반응,모델·출연자 반응,
一葉💓,1,userdp73x1i1e5,2026-04-18 15:31:07+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Other,Positive,기타,기타,
Wow q bella mi esposita kazuha👌😍❤️🌹,0,elbichotetoons,2026-04-08 03:46:09+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Other,Positive,기타,기타,
いち,3,aoi6132,2026-04-05 07:30:02+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Japanese,Neutral,기타,기타,1등
😍😍,1,nkmrcj,2026-04-06 04:12:45+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Other,Positive,기타,기타,
💜💜💜,1,tae.young1,2026-04-05 23:35:41+00:00,https://www.tiktok.com/@voce_magazine/video/7625173577989491988,Other,Positive,기타,기타,
I need this in my routine ASAP😍,0,treasurechest_global,2025-07-30 07:42:06+00:00,https://www.tiktok.com/@itsmelissaga/video/7525873410228931853,English,Positive,기타,기타,
Hey girl check ur email for collab--TTDEYE TEAM,0,business_manager_nico,2025-07-15 08:41:35+00:00,https://www.tiktok.com/@itsmelissaga/video/7525873410228931853,English,Neutral,기타,기타,
this looks amazing!,0,xo.alexiscarlon,2025-07-12 01:28:57+00:00,https://www.tiktok.com/@itsmelissaga/video/7525873410228931853,English,Positive,기타,기타,
Hermosa mi Meli ❤❤❤,0,dannymuaa,2025-07-11 17:15:10+00:00,https://www.tiktok.com/@itsmelissaga/video/7525873410228931853,Other,Positive,기타,기타,
Would the foundation work well for oily skin 💜,1,saniya_kbeauty,2026-06-07 19:27:10+00:00,https://www.tiktok.com/@error.erol/video/7648447895565323540,English,Positive,기타,기타,
Wait this looks so high end!!,1,cinnamieroll_,2026-06-07 02:14:31+00:00,https://www.tiktok.com/@error.erol/video/7648447895565323540,English,Positive,기타,기타,
naurrrr why did I see this after their sale 💔,1,waemochk,2026-06-07 08:20:44+00:00,https://www.tiktok.com/@error.erol/video/7648447895565323540,English,Negative,기타,기타,
Omg the glow is soo good 😍,0,cc.khv,2026-06-08 01:42:48+00:00,https://www.tiktok.com/@error.erol/video/7648447895565323540,English,Positive,기타,기타,
Such a natural glow! I love that first product ahhh 🤩🤩,0,monetjetaime,2026-06-08 23:06:18+00:00,https://www.tiktok.com/@error.erol/video/7648447895565323540,English,Positive,기타,기타,
まつ毛のデザインとってもかわいい、、、つけまかマツエクですか？,0,april__apple26,2026-07-29 20:23:12+00:00,https://www.tiktok.com/@miwa_asmr/video/7666764694312504583,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,"속눈썹 디자인 너무 예뻐요... 인조 속눈썹이에요, 아니면 연장이에요?"
ライブはもうしませんか？(>_<),2,hiyokko95,2026-07-26 12:54:37+00:00,https://www.tiktok.com/@miwa_asmr/video/7666764694312504583,Japanese,Negative,기타,기타,라이브는 이제 안 해요?(>_<)
かわいすぎます！,1,hinamaro5,2026-07-26 10:03:24+00:00,https://www.tiktok.com/@miwa_asmr/video/7666764694312504583,Japanese,Positive,기타,기타,너무 예뻐요!
あなたはとても可愛いですね。私は2番目です🥹🤭,2,blinkeu_queen,2026-07-26 09:28:47+00:00,https://www.tiktok.com/@miwa_asmr/video/7666764694312504583,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,당신 정말 예쁘네요. 저는 2번째예요🥹🤭
ameiiiiiii 💜,0,elizete.correa,2026-07-26 20:44:57+00:00,https://www.tiktok.com/@miwa_asmr/video/7666764694312504583,Other,Positive,기타,기타,
🥰🥰,3,user38484635310075,2026-05-26 07:47:57+00:00,https://www.tiktok.com/@atarichan33/video/7631722977578585364,Other,Positive,기타,기타,
関西弁なんですね！？知らなかったから勝手にギャップ萌えしてますwww,0,dy0kge7fi2vz,2026-04-11 02:57:31+00:00,https://www.tiktok.com/@moelogchan/video/7627326358539996436,Japanese,Positive,기타,기타,간사이 사투리였네요!? 몰랐어서 혼자 반전 매력에 빠졌어요www
クッションもよかったけどこれもほしー‼️,0,_mi_pi03,2026-04-11 05:33:49+00:00,https://www.tiktok.com/@moelogchan/video/7627326358539996436,Japanese,Positive,사용 방법·문의,제품 반응,쿠션도 좋았는데 이것도 갖고 싶어요‼️
かわいいかわいいほんとにかわいい。お顔立ちパーツ全て好み。🥲💖羨ましい,1,gjaikdsi,2026-02-20 10:46:17+00:00,https://www.tiktok.com/@mobnerd/video/7608884074043968786,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,예쁘다 예쁘다 진짜 예쁘다. 얼굴 생김새 전부 제 취향이에요.🥲💖 부러워요
ちろるちゃん可愛すぎ🥰🥰,1,hide101012,2026-04-07 22:27:54+00:00,https://www.tiktok.com/@chiroru1547/video/7626015313120808212,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,치로루짱 너무 예뻐요🥰🥰
ほんとにかわいいです🥰,1,tm17152,2026-04-08 02:19:56+00:00,https://www.tiktok.com/@chiroru1547/video/7626015313120808212,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,진짜 예뻐요🥰
"ちろるちゃんこんにちは😊
綺麗過ぎだって😁",1,user26560887396866,2026-04-08 06:36:38+00:00,https://www.tiktok.com/@chiroru1547/video/7626015313120808212,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,"치로루짱 안녕하세요😊
너무 예쁘다니까요😁"
ちろるん綺麗︎💕︎,1,ocha.ocha77334455,2026-04-07 17:26:43+00:00,https://www.tiktok.com/@chiroru1547/video/7626015313120808212,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,치로룬 예뻐요💕
カラコンなにつけてますか？かわいいです🫣♥,4,mxxuvcl,2025-10-02 11:37:58+00:00,https://www.tiktok.com/@hwaeum418/video/7556585030877760775,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,서클렌즈 뭐 끼세요? 예뻐요🫣♥
リップどこのですか？？,1,burina17,2025-10-02 12:54:27+00:00,https://www.tiktok.com/@hwaeum418/video/7556585030877760775,Japanese,Neutral,사용 방법·문의,제품 반응,립 어디 제품이에요??
ほんまかわいい💗💗💗,1,komacszu6er,2025-10-02 11:32:32+00:00,https://www.tiktok.com/@hwaeum418/video/7556585030877760775,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,진짜 예쁘다💗💗💗
今日も可愛すぎるし、流し前髪も似合ってる🥹 クリームチーク今色々探してるから紹介してくれるの本当にありがたい!!🙏✨チェックしてみます！,1,q04858,2025-10-02 11:56:53+00:00,https://www.tiktok.com/@hwaeum418/video/7556585030877760775,Japanese,Positive,모델·출연자 반응,모델·출연자 반응,오늘도 너무 예쁘고 옆으로 넘긴 앞머리도 잘 어울려요🥹 크림 블러셔 지금 이것저것 찾고 있어서 소개해주신 거 정말 감사해요!!🙏✨ 확인해볼게요!
ツヤツヤで可愛い💓前髪似合ってる〜💕,0,user631728817151,2025-10-03 10:28:54+00:00,https://www.tiktok.com/@hwaeum418/video/7556585030877760775,Japanese,Positive,피부 표현·광채,피부 표현·메이크업,윤기 나고 예뻐요💓 앞머리 잘 어울려요~💕
かわいすぎます( > <。),1,_jeong0214,2025-10-02 15:51:32+00:00,https://www.tiktok.com/@hwaeum418/video/7556585030877760775,Japanese,Positive,기타,기타,너무 예뻐요( > <。)
そのブランド初めて見ました👀✨,1,e_d9354,2025-10-02 12:14:24+00:00,https://www.tiktok.com/@hwaeum418/video/7556585030877760775,Japanese,Positive,기타,기타,그 브랜드 처음 봤어요👀✨
